ORIGIN_AIRPORT,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE,CLUSTER,total_flights,avg_arrival_delay,avg_departure_delay,pct_delayed_15,cancellation_rate,avg_taxi_out,avg_distance,weather_delay_rate,airline_delay_rate,late_ac_delay_rate,system_delay_rate,PC1,PC2
RDM,Redmond Municipal Airport (Roberts Field),Redmond,OR,44.25407,-121.14996,2,2119,1.4591788,4.0542707,13.44974,1.3940520446096654,13.08353,606.0694,4.6546755,34.63774,40.752438,19.936838,-1.2865107027458993,1.147707464038926
RDU,Raleigh-Durham International Airport,Raleigh,NC,35.87764,-78.78747,1,31074,4.5777497,9.645138,17.735085,2.3231753197893155,14.703965,641.2942,5.0185347,22.331766,43.449585,29.046873,0.7920667662445428,-0.3034064900016145
RHI,Rhinelander-Oneida County Airport,Rhinelander,WI,45.63119,-89.46745,1,937,5.9242263,2.4151547,23.265741,1.5723270440251573,18.153683,153.37567,1.5712883,18.400143,49.22775,30.800823,0.576384530273278,-0.9651595089966711
RIC,Richmond International Airport,Richmond,VA,37.50517,-77.31967,1,14887,5.8474507,10.2257,18.022436,2.7548029957668514,15.459529,535.0145,4.8447733,40.26946,27.111431,27.744839,1.8571651797148945,1.116946501884414
RKS,Rock Springs-Sweetwater County Airport,Rock Springs,WY,41.59422,-109.06519,2,670,0.14925373,4.6402984,10.746268,2.608695652173913,14.904478,255.94478,10.554342,35.103767,31.171492,22.938286,-1.232830293201109,1.4054887400629557
RNO,Reno/Tahoe International Airport,Reno,NV,39.49858,-119.76806,1,12851,5.22543,7.8411016,17.399424,1.0222119744831297,13.172049,577.1305,2.023347,21.888302,51.844494,24.201363,-0.13123369207320393,-0.5930878529260174
ROA,Roanoke Regional Airport (Woodrum Field),Roanoke,VA,37.32547,-79.97543,1,2217,7.5299954,9.9165535,18.764095,2.5854513584574934,15.109608,415.45737,5.4801393,25.598019,40.894127,28.027714,1.4163351391333165,-0.5789135300586497
ROC,Greater Rochester International Airport,Rochester,NY,43.11887,-77.67238,1,7240,0.9294199,7.6038675,16.022099,2.483888292158969,14.651105,504.27722,3.0191078,28.540846,35.68737,32.749004,0.157669223253995,0.6466236634769864
ROW,Roswell International Air Center,Roswell,NM,33.30156,-104.53056,0,915,6.8448086,7.731148,16.721312,5.646817248459959,11.217486,435.0,23.252232,24.833738,30.892134,21.021898,0.6858141904221854,-1.3068461760454142
RST,Rochester International Airport,Rochester,MN,43.90883,-92.49799,1,1971,3.8995433,7.2095385,19.736174,3.8461538461538463,14.612379,318.6824,3.9676263,23.71165,40.436665,31.880293,0.807534566302899,-0.8898659828407339
RSW,Southwest Florida International Airport,Ft. Myers,FL,26.53617,-81.75517,1,26938,3.9970675,8.665342,17.350954,1.1919561243144423,12.635014,961.5376,2.2665184,23.239012,47.95779,26.486795,0.1545445169980092,0.02511682841741315
